Articulo,Descripcion,"Lista IMP.
U$S DÓLAR","Lista NAC.
$ PESOS",
1511/00500-134,PASTILLA FRENO TRAS. XTZ 250 / SUZUKI DR 250S DIAFRAG,4.36,0.00,
1511/00500-546,PASTILLA FRENO TRAS. XTZ 250 / SUZUKI DR 250S HYD,0.00,9402.26,
1511/00525-056,PASTILLA FRENO DEL. YAMAHA YBR125 2009 (FA101) NSU,0.91,0.00,
1511/00545-644,PASTILLA FRENO TRAS. HONDA CR 125/250/500-XR LITTON,0.00,6079.82,
1511/00600-644,PASTILLA FRENO DEL. YAMAHA DTZ180/TDR180/XT600/225 LITTON,0.00,6098.52,
1511/01152-546,PASTILLA FRENO TRAS. BAJAJ ROUSER 220 MOD.2010 HYD,0.00,14164.30,
1512,FRENOS PASTILLAS CERAMICA,,,
1512/00010-134,PASTILLA FRENO TRAS. BMW650/850-KTM DUKE 200 DIAFRAG,5.86,0.00,
1512/00020-134,PASTILLA FRENO TRAS. HONDA CR125/250 DIAFRAG,4.80,0.00,
1512/00030-134,PASTILLA FRENO DEL. HONDA CR125/250 DIAFRAG,5.37,0.00,
1512/00040-134,PASTILLA FRENO DEL. HONDA TORNADO/FALCON DIAFRAG,4.99,0.00,
1512/00050-134,PASTILLA FRENO DEL. KAWASAKI KX125/YAMAHA XTZ 125 DIAFRAG,4.80,0.00,
1512/00060-134,PASTILLA FRENO DEL. KTM/HUSQVARNA/BMW DIAFRAG,6.12,0.00,
1512/00070-134,"PASTILLA FRENO TRAS, KTM/HUSQVARNA/BMW DIAFRAG",5.41,0.00,
1512/00090-134,PASTILLA FRENO TRAS. YAMAHA TENERE 250/SUZUKI DR DIAFRAG,5.19,0.00,
1513,FRENOS PLATO DEL COMPLETO,,,
1513/00080-565,PLATO FRENO ARMADO DEL. MONDIAL  PEIX,0.00,214.13,
1513/00100-077,PLATO FRENO ARMADO DEL. YAMAHA AXIS V80 NSU,16.24,0.00,
1515,FRENOS PLATO TRAS COMPL,,,
1515/00068-077,PLATO FRENO ARMADO TRAS. HONDA DAX 110 NSU,14.07,0.00,
1515/00110-022,PLATO FRENO ARMADO TRAS. YAMAHA YBR 125 NSU,16.51,0.00,
1517,FRENOS PLATO TRAS SOLO,,,
1517/00096-022,PLATO FRENO TRAS. SOLO GILERA SMASH/FUTURA NSU,7.96,0.00,
1517/00098-134,PLATO FRENO TRAS. SOLO HONDA BIZ C100/125 DIAFRAG,22.38,0.00,
1517/00106-134,PLATO FRENO TRAS. SOLO HONDA TITAN 150 DIAFRAG,26.49,0.00,
1517/00121-134,PLATO FRENO TRAS. SOLO YAMAHA YBR 125 BRASIL DIAFRAG,26.96,0.00,
1519,FRENOS PLATOS DEL SOLO,,,
1519/00030-541,PLATO FRENO DEL. SOLO 115 ROJO FUNDEMAP,0.00,1906.59,
1519/00040-565,PLATO FRENO DEL. SOLO 115 ZANELLA  SOL BLANCO PEIX,0.00,81.23,
1519/00050-022,PLATO FRENO DEL. SOLO SUZUKI AX100  NSU,11.16,0.00,
1519/00060-565,PLATO FRENO DEL. SOLO ZANELLA RZA  NEGRO PEIX,0.00,81.23,
1521,FRENOS ZAPATA DE FRENO,,,
1521/00080-134,ZAPATA JGO. GILERA SMASH-HONDA C90(C100)RES.CRUZAD DIAFRAG,4.69,0.00,
1521/00080-159,ZAPATA JGO. GILERA SMASH-HONDA C90(C100)RES.CRUZAD .,2.04,0.00,
1521/00085-134,ZAPATA JGO. H. CB250/ GILERA SMASH DEL/ RX REDONDA DIAFRAG,5.60,0.00,
1521/00085-159,ZAPATA JGO. H. CB250/ GILERA SMASH DEL/ RX REDONDA .,3.03,0.00,
1521/00090-134,ZAPATA JGO.TRAS.GILERA SMASH RESORTE RECTOS DIAFRAG,4.38,0.00,
1521/00090-159,ZAPATA JGO.TRAS.GILERA SMASH RESORTE RECTOS .,2.04,0.00,
1521/00122-022,ZAPATA JGO. KYMCO 125 NSU,2.20,0.00,
1521/00124-134,ZAPATA JGO. TRAS.HONDA XR125/NX 350 DIAFRAG,5.78,0.00,
1521/00124-159,ZAPATA JGO. TRAS.HONDA XR125/NX 350 .,2.71,0.00,
1521/00127-134,ZAPATA JGO. TRAS.YAMAHA XTZ125/225/YBR 125 DIAFRAG,6.08,0.00,
1521/00127-159,ZAPATA JGO. TRAS.YAMAHA XTZ125/225/YBR 125 .,2.71,0.00,
1521/00130-134,ZAPATA JGO. SUZUKI AX100 (A100) DIAFRAG,5.21,0.00,
1521/00130-159,ZAPATA JGO. SUZUKI AX100 (A100) .,2.17,0.00,
1521/00142-134,ZAPATA JGO. TRAS.HONDA XLR125/XLR250/NX150BROSS DIAFRAG,5.37,0.00,
1521/00155-134,ZAPATA JGO.DEL./TRAS. YAMAHA FZ16 DIAFRAG,7.78,0.00,
1521/00155-159,ZAPATA JGO.DEL./TRAS. YAMAHA FZ16 .,3.19,0.00,
1521/00160-134,ZAPATA JGO. DEL. ZANELLA RX -  HONDA TORNADO DIAFRAG,5.43,0.00,
1521/00160-159,ZAPATA JGO. DEL. ZANELLA RX -  HONDA TORNADO .,2.55,0.00,
1521/00195-022,ZAPATA JGO.TRAS. CUSTOM GILERA 250 NSU,3.76,0.00,
1521/00205-134,ZAPATA JGO.TRAS. YAMAHA CRYPTON M/V-AXIS 90 JOG DIAFRAG,3.89,0.00,
1521/00205-159,ZAPATA JGO.TRAS. YAMAHA CRYPTON M/V-AXIS 90 JOG .,2.14,0.00,
1521/00210-134,ZAPATA JGO.TRAS.ZANELLA RX150 PLANA DIAFRAG,8.41,0.00,
1521/00210-159,ZAPATA JGO.TRAS.ZANELLA RX150 PLANA .,2.87,0.00,
1527,GOMAS,,,
1527/00015-621,GOMA CACHAS ZANELLA RX150/CG/OTRAS x25unid. .,0.00,9772.77,
1527/00030-566,GOMA PATADA ARRANQUE GRANDE VC,0.00,423.81,
1527/00050-566,GOMA PATADA CIEGA VC,0.00,423.81,
1527/00060-566,GOMA PUESTA EN MARCHA CICLO VC,0.00,316.65,
1531,GUARDABARROS DEL,,,
1531/00009-022,GUARDABARRO DEL. BAJAJ PULSAR 200 NS NEGRO NSU,13.21,0.00,
1531/00019-022,GUARDABARRO DEL. CUSTOM 200 NEGRO NSU,13.31,0.00,
1531/00020-038,GUARDABARRO DEL. SUZUKI AX100 CROMADO NSU,15.43,0.00,
1531/00026-038,GUARDABARRO DEL. GUERRERO G100 BORDO NSU,10.47,0.00,
1531/00035-022,GUARDABARRO DEL. GILERA SMASH NEGRO NSU,15.22,0.00,
1531/00035-566,GUARDABARRO DEL. GILERA SMASH NEGRO VC,0.00,14966.96,
1531/00039-566,GUARDABARRO DEL. ZANELLA BUSSINES/CG TODAY VC,0.00,5412.29,
1531/00042-022,GUARDABARRO DEL. GILERA SMASH TUNNING NEGRO NSU,9.73,0.00,
1531/00056-022,GUARDABARRO DEL. MOTOMEL MOTARD BLANCO NSU,7.89,0.00,
1531/00057-038,GUARDABARRO DEL. MOTOMEL SKUA 150 V6 NEGRO NSU,14.26,0.00,
1531/00058-038,GUARDABARRO DEL. MOTOMEL SKUA 150 V6 BLANCO NSU,14.26,0.00,
1531/00059-038,GUARDABARRO DEL. MOTOMEL SKUA 150 V6 AZUL NSU,14.26,0.00,
1531/00080-566,GUARDABARRO DEL. ZANELLA SOL FIRE GRIS VC,0.00,4275.60,
1531/00110-566,GUARDABARRO DEL. ZANELLA SOL FIRE ROJO  VC,0.00,4275.60,
1531/00153-022,GUARDABARRO DEL. ZANELLA RX 150 GRIS NSU,7.40,0.00,
1531/00155-022,GUARDABARRO DEL. ZANELLA RX 150 NEGRO NSU,11.10,0.00,
1531/00155-566,GUARDABARRO DEL. ZANELLA RX 150 NEGRO VC,0.00,12594.15,
1531/00157-022,GUARDABARRO DEL. ZANELLA RX 150 ROJO NSU,11.10,0.00,
1531/00160-022,GUARDABARRO DEL. ZANELLA RX 150 NEW NEGRO NSU,11.10,0.00,
1531/00221-022,GUARDABARRO DEL. HONDA CB190R NEGRO NSU,18.12,0.00,
1531/00256-022,GUARDABARRO DEL. HONDA CB125F TWISTER NEGRO NSU,20.28,0.00,
1531/00257-022,GUARDABARRO DEL. HONDA CBX 250 2017 NEGRO 2PZAS. NSU,18.38,0.00,
1531/00266-022,GUARDABARRO DEL. HONDA BIZ 125 NEGRO NSU,17.18,0.00,
1531/00267-022,GUARDABARRO DEL. HONDA CRF 250/450 NEGRO NSU,11.89,0.00,
1531/00267-038,GUARDABARRO DEL. HONDA CRF 250/450 NEGRO NSU,11.90,0.00,
1531/00270-022,GUARDABARRO DEL. HONDA NXR BROSS/MOTOMEL SKUANEGRO NSU,8.59,0.00,
1531/00271-022,GUARDABARRO DEL. HONDA NXR ROJO NSU,8.59,0.00,
1531/00274-022,GUARDABARRO DEL. HONDA CBX 250 NEGRO NSU,17.94,0.00,
1531/00275-022,GUARDABARRO DEL. HONDA CBX 250 ROJO NSU,17.94,0.00,
1531/00276-150,GUARDABARRO DEL. HONDA BIZ 100 NEGRO 00/05 CROMOFORTE,15.56,0.00,
1531/00281-566,GUARDABARRO DEL. HONDA WAVE/FUTURA NEGRO VC,0.00,15718.16,
1531/00282-038,GUARDABARRO DEL. HONDA CG 150 2015 NEGRO NSU,13.12,0.00,
1531/00286-022,GUARDABARRO DEL. HONDA STORM 125 NEGRO NSU,16.99,0.00,
1531/00286-566,GUARDABARRO DEL. HONDA STORM 125 NEGRO VC,0.00,15964.59,
1531/00288-022,GUARDABARRO DEL. HONDA STORM 125 ROJO LUC. NSU,16.99,0.00,
1531/00292-038,GUARDABARRO DEL. HONDA CG 150 NEW 2015 AZUL NSU,13.12,0.00,
1531/00293-038,GUARDABARRO DEL. HONDA CG 150 NEW 2015 ROJO NSU,13.12,0.00,
1531/00310-022,GUARDABARRO DEL. HONDA CG/TITAN 150 NEGRO NSU,13.09,0.00,
1531/00354-150,GUARDABARRO DEL. HONDA TITAN 150 04/08 AZUL CROMOFORTE,12.22,0.00,
1531/00445-022,GUARDABARRO DEL. HONDA WAVE GRIS PLATA C/EMBELLECE NSU,15.25,0.00,
1531/00450-022,GUARDABARRO DEL. HONDA WAVE NEGRO C/EMBELLECEDOR NSU,15.25,0.00,
1531/00452-022,GUARDABARRO DEL. HONDA WAVE BORDO C/EMBELLECEDOR NSU,15.25,0.00,
1531/00455-038,GUARDABARRO DEL. HONDA WAVE 2014 2PZAS NSU,13.09,0.00,
1531/00457-022,GUARDABARRO DEL. HONDA WAVE 110S ROJO 2PZAS. NSU,15.10,0.00,
1531/00458-022,GUARDABARRO DEL. HONDA WAVE 110S NEGRO 2PZAS. NSU,15.10,0.00,
1531/00460-022,GUARDABARRO DEL. HONDA XR250 TORNADO BLANCO NSU,18.01,0.00,
1531/00462-022,GUARDABARRO DEL. HONDA XR250 TORNADO ROJO NSU,18.01,0.00,
1531/00470-022,GUARDABARRO DEL. HONDA GLH 150 NEGRO (2PZ) NSU,17.27,0.00,
1531/00470-038,GUARDABARRO DEL. HONDA GLH 150 NEGRO (2PZ) NSU,17.27,0.00,
1531/00472-022,GUARDABARRO DEL. HONDA GLH 150 ROJO (2PZ) NSU,17.27,0.00,
1531/00472-038,GUARDABARRO DEL. HONDA GLH 150 ROJO (2PZ) NSU,17.27,0.00,
1531/00474-022,GUARDABARRO DEL. HONDA GLH 150 AZUL (2PZ) NSU,17.27,0.00,
1531/00474-038,GUARDABARRO DEL. HONDA GLH 150 AZUL (2PZ) NSU,17.27,0.00,
1531/00478-038,GUARDABARRO DEL. HONDA NAVI NEGRO NSU,10.59,0.00,
1531/00490-022,GUARDABARRO DEL. SUZUKI GIXXER 150 NEGRO NSU,18.54,0.00,
1531/00510-022,GUARDABARRO DEL. ZANELLA CUSTOM 150 NEGRO NSU,11.98,0.00,
1531/00525-022,GUARDABARRO DEL. YAMAHA CRYPTON NEGRO 2 PARTES NSU,17.32,0.00,
1531/00532-022,GUARDABARRO DEL. YAMAHA CRYPTON NEGRO NSU,13.39,0.00,
1531/00540-022,GUARDABARRO DEL. YAMAHA FZ16 NEGRO NSU,11.81,0.00,
1531/00540-566,GUARDABARRO DEL. YAMAHA FZ16 NEGRO VC,0.00,16942.80,
1531/00542-022,GUARDABARRO DEL. YAMAHA FZ16 BORDO NSU,11.81,0.00,
1531/00544-022,GUARDABARRO DEL. YAMAHA FZ16 AZUL NSU,11.81,0.00,
1531/00550-566,GUARDABARRO DEL. YAMAHA YBR 125 NEGRO VC,0.00,14512.27,
1531/00601-022,GUARDABARRO DEL. YAMAHA YBR 125 AZUL NSU,15.22,0.00,
1531/00604-022,GUARDABARRO DEL. YAMAHA YBR 125 GRIS NSU,15.22,0.00,
1531/00605-022,GUARDABARRO DEL. YAMAHA YBR 125 NEGRO NSU,15.22,0.00,
1531/00607-022,GUARDABARRO DEL. YAMAHA YBR 125 ROJO NSU,15.22,0.00,
1531/00610-022,GUARDABARRO DEL. YAMAHA YBR 125 MOD.2012 NEGRO NSU,15.22,0.00,
1531/00620-038,GUARDABARRO DEL. YAMAHA YBR 125 Z NEGRO NSU,14.72,0.00,
1531/00729-022,GUARDABARRO DEL. HONDA CRF 250/450  BLANCO NSU,11.89,0.00,
1531/00729-038,GUARDABARRO DEL. HONDA CRF 250/450  BLANCO NSU,11.90,0.00,
1531/00731-022,GUARDABARRO DEL. HONDA XR 150L/CROSS ROJO NSU,10.00,0.00,
1531/00733-022,GUARDABARRO DEL. HONDA XR 150L/CROSS BLANCO NSU,10.00,0.00,
1531/01000-152,GUARDABARRO DEL. COOL NEGRO CIRCUIT,28.58,0.00,
1531/01001-152,GUARDABARRO DEL. COOL ROJO CIRCUIT,28.58,0.00,
1531/01002-152,GUARDABARRO DEL. COOL AZUL CIRCUIT,28.58,0.00,
1531/01003-152,GUARDABARRO DEL. COOL ROJO FLUO CIRCUIT,28.58,0.00,
1531/01005-152,GUARDABARRO DEL. COOL BLANCO CIRCUIT,28.58,0.00,
1531/01006-152,GUARDABARRO DEL. COOL AMARILLO CIRCUIT,28.58,0.00,
1531/01007-152,GUARDABARRO DEL. COOL NARANJA CIRCUIT,28.58,0.00,
1531/01008-152,GUARDABARRO DEL. COOL VERDE CIRCUIT,28.58,0.00,
1531/01100-152,GUARDABARRO DEL. DRAGON NEGRO CIRCUIT,26.33,0.00,
1531/01200-152,GUARDABARRO DEL. HONDA CRF 230 NEGRO CIRCUIT,24.23,0.00,
1531/01201-152,GUARDABARRO DEL. HONDA CRF 230 ROJO CIRCUIT,24.23,0.00,
1531/01202-152,GUARDABARRO DEL. HONDA CRF 230 AZUL CIRCUIT,24.23,0.00,
1531/01205-152,GUARDABARRO DEL. HONDA CRF 230 BLANCO CIRCUIT,24.23,0.00,
1531/01300-152,GUARDABARRO DEL. TRACKER NEGRO CIRCUIT,21.08,0.00,
1533,GUARDABARROS SOPORTES,,,
1533/00010-566,SOPORTE GUARDABARRO ZANELLA POCKET VC,0.00,3027.70,
1535,GUARDABARROS TRAS,,,
1535/00003-022,GUARDABARRO TRAS. APPIA BERACA NSU,11.00,0.00,
1535/00004-022,GUARDABARRO TRAS. BETA TR200/MOTARD 200/250 15LED NSU,21.49,0.00,
1535/00006-022,GUARDABARRO CORTASPRAY BAJAJ PULSAR 200 NS NEGRO NSU,10.11,0.00,
1535/00007-022,GUARDABARRO INTERIOR GILERA SMASH TUNNING NEGRO NSU,6.53,0.00,
1535/00008-077,GUARDABARRO INTERIOR MOTOMEL FUSION NSU,3.18,0.00,
1535/00015-566,GUARDABARRO TRAS. GILERA SMASH 2025 .NEG/NEG VC,0.00,10794.00,
1535/00026-057,GUARDABARRO TRAS. HERO PUCH ROJA C/SOP. REGENT,12.35,0.00,
1535/00027-022,GUARDABARRO TRAS. HONDA WAVE M/VIEJO NSU,4.16,0.00,
1535/00027-566,GUARDABARRO TRAS. HONDA NEW WAVE VC,0.00,5678.59,
1535/00028-022,GUARDABARRO TRAS. GILERA SMASH NEGRO NSU,7.85,0.00,
1535/00028-566,GUARDABARRO TRAS. GILERA SMASH NEGRO VC,0.00,9141.36,
1535/00029-038,GUARDABARRO TRAS. SUZUKI AX100 NSU,5.11,0.00,
1535/00033-038,GUARDABARRO TRAS. HONDA WAVE 2014 NSU,9.36,0.00,
1535/00034-022,GUARDABARRO TRAS. HONDA WAVE 110S NEGRO NSU,8.11,0.00,
1535/00034-038,GUARDABARRO TRAS. HONDA WAVE 110S NEGRO NSU,8.11,0.00,
1535/00052-022,GUARDABARRO TRAS. GILERA REVOLUTION NEGRO NSU,6.64,0.00,
1535/00053-022,GUARDABARRO TRAS. HONDA CG150 NEGRO NSU,10.68,0.00,
1535/00055-077,GUARDABARRO TRAS. HONDA DAX M/NUEVO NSU,5.95,0.00,
1535/00056-022,GUARDABARRO TRAS. HONDA STORM 125 NSU,6.16,0.00,
1535/00056-566,GUARDABARRO TRAS. HONDA STORM 125 VC,0.00,9362.50,
1535/00057-038,GUARDABARRO TRAS. HONDA CB190R NSU,13.97,0.00,
1535/00058-038,GUARDABARRO TRAS. HONDA GLH 150 NEGRO NSU,15.89,0.00,
1535/00059-038,GUARDABARRO TRAS. HONDA NAVI NEGRO NSU,10.59,0.00,
1535/00063-150,GUARDABARRO TRAS. HONDA CG 125 200/2004 NEGRO CROMOFORTE,10.27,0.00,
1535/00066-038,GUARDABARRO TRAS. HONDA TITAN 2015 NSU,8.11,0.00,
1535/00068-022,GUARDABARRO TRAS. HONDA CBX 250 NSU,18.49,0.00,
1535/00075-022,GUARDABARRO TRAS. MOTOMEL FUSION NSU,4.77,0.00,
1535/00078-022,GUARDABARRO TRAS. SUZUKI GIXXER 150 NEGRO NSU,20.74,0.00,
1535/00081-022,GUARDABARRO TRAS. MOTOMEL SKUA 150 V6 NSU,4.49,0.00,
1535/00081-038,GUARDABARRO TRAS. MOTOMEL SKUA 150 V6 NSU,4.49,0.00,
1535/00083-022,GUARDABARRO TRAS. YAMAHA XTZ 125 NSU,5.58,0.00,
1535/00084-022,GUARDABARRO TRAS. YAMAHA FZ16 PORTAPATENTE NSU,9.88,0.00,
1535/00084-566,GUARDABARRO TRAS. YAMAHA FZ16 PORTAPATENTE VC,0.00,14221.88,
1535/00085-022,GUARDABARRO TRAS. YAMAHA CRYPTON COLIN NSU,6.00,0.00,
1535/00087-022,GUARDABARRO TRAS. YAMAHA FZ16 INF.C/CUBRECADENAS NSU,11.98,0.00,
1535/00087-566,GUARDABARRO TRAS. YAMAHA FZ16 INF.C/CUBRECADENAS VC,0.00,9492.01,
1535/00088-038,GUARDABARRO TRAS. YAMAHA FZ16S NSU,9.74,0.00,
1535/00090-566,GUARDABARRO TRAS. YAMAHA YBR 125 NEGRO VC,0.00,13043.38,
1535/00095-038,GUARDABARRO TRAS. YAMAHA YBR Z NSU,14.99,0.00,
1535/00105-022,GUARDABARRO TRAS. ZANELLA RX 150 NEGRO NSU,3.37,0.00,
1535/00105-566,GUARDABARRO TRAS. ZANELLA RX 150 NEGRO VC,0.00,5678.60,
1535/00210-022,GUARDABARRO TRAS. ZANELLA ZR 150 NEGRO NSU,5.59,0.00,
1535/01000-152,GUARDABARRO TRAS. ADAPTABLE NEGRO CIRCUIT,26.54,0.00,
1535/01001-152,GUARDABARRO TRAS. ADAPTABLE ROJO CIRCUIT,26.54,0.00,
1535/01002-152,GUARDABARRO TRAS. ADAPTABLE AZUL CIRCUIT,26.54,0.00,
1535/01005-152,GUARDABARRO TRAS. ADAPTABLE BLANCO CIRCUIT,26.54,0.00,
1535/01006-152,GUARDABARRO TRAS. ADAPTABLE AMARILLO CIRCUIT,26.54,0.00,
1535/01007-152,GUARDABARRO TRAS. ADAPTABLE NARANJA CIRCUIT,26.54,0.00,
1535/01008-152,GUARDABARRO TRAS. ADAPTABLE VERDE CIRCUIT,26.54,0.00,
1536,GUANTES,,,
1536/00020-128,GUANTE S-1 MEDIO DEDO NEGRO TALLE M x PAR .,3.93,0.00,
1536/00030-128,GUANTE S-1 MEDIO DEDO NEGRO TALLE L x PAR .,3.93,0.00,
1536/00060-128,GUANTE S-2 MEDIO DEDO ROJO/NEGRO TALLE M x PAR .,3.93,0.00,
1536/00070-128,GUANTE S-2 MEDIO DEDO ROJO/NEGRO TALLE L x PAR .,3.93,0.00,
1536/00100-128,GUANTE S-3 MEDIO DEDO NEGRO TALLE M x PAR .,3.71,0.00,
1536/00140-128,GUANTE S-4 TERMICO IMPERMEABLE NEGRO TALLE M x PAR .,4.43,0.00,
1536/00180-128,GUANTE S-4 TERMICO IMPERMEABLE GRIS TALLE M x PAR .,4.43,0.00,
1536/00220-128,GUANTE S-5 MODEL 1 TACTIL TALLE M x PAR .,3.91,0.00,
1536/00230-128,GUANTE S-5 MODEL 1 TACTIL TALLE L x PAR .,3.91,0.00,
1536/00240-128,GUANTE S-5 MODEL 1 TACTIL TALLE XL x PAR .,3.91,0.00,
1536/00250-128,GUANTE S-5 MODEL 1 TACTIL TALLE XXL x PAR .,3.91,0.00,
1536/00260-128,GUANTE S-5 MODEL 2 TACTIL TERMICO TALLE M x PAR .,3.91,0.00,
1536/00270-128,GUANTE S-5 MODEL 2 TACTIL TERMICO TALLE L x PAR .,3.91,0.00,
1536/00280-128,GUANTE S-5 MODEL 2 TACTIL TERMICO TALLE XL xPAR .,3.91,0.00,
1536/00290-128,GUANTE S-5 MODEL 2 TACTIL TERMICO TALLE XXL xPAR .,3.91,0.00,
1536/00350-128,GUANTE S-7 C/PROTECCION NEGRO TALLE L x PAR .,10.37,0.00,
1536/00410-128,GUANTE S-8 MEDIO DEDO C/PROTEC. ROJO TALLE S x PAR .,7.71,0.00,
1536/00420-128,GUANTE S-8 MEDIO DEDO C/PROTEC. ROJO TALLE M x PAR .,7.71,0.00,
1536/00450-128,GUANTE S-8 MEDIO DEDO C/PROTEC. AZUL TALLE S x PAR .,7.71,0.00,
1536/00460-128,GUANTE S-8 MEDIO DEDO C/PROTEC. AZUL TALLE M x PAR .,7.71,0.00,
1536/00540-128,GUANTE S-11 CROSS VERDE TALLE M x PAR .,8.67,0.00,
1536/00550-128,GUANTE S-11 CROSS VERDE TALLE L x PAR .,11.53,0.00,
1536/00580-128,GUANTE S-10 TACTIL SEMI IMPERM.NEGRO TALLE M x PAR .,4.23,0.00,
1536/00590-128,GUANTE S-10 TACTIL SEMI IMPERM.NEGRO TALLE L x PAR .,4.23,0.00,
1536/00600-128,GUANTE S-10 TACTIL SEMI IMPERM.NEGRO TALLE XLxPAR .,4.23,0.00,
1536/00605-128,GUANTE S-10 TACTIL SEMI IMPERM.NEGROTALLE XXL xPAR .,4.23,0.00,
1536/00610-128,GUANTE S-12 TACTIL TERMICO IMPER.NEGRO TALLE SxPAR .,7.83,0.00,
1536/00620-128,GUANTE S-12 TACTIL TERMICO IMPER.NEGRO TALLE MxPAR .,5.65,0.00,
1536/00630-128,GUANTE S-12 TACTIL TERMICO IMPER.NEGRO TALLE LxPAR .,5.65,0.00,
1536/00640-128,GUANTE S-12 TACTIL TERMICO IMPER.NEGRO TALLEXLxPAR .,5.65,0.00,
1536/00645-128,GUANTE S-12 TACTIL TERMICO IMPER.NEGROTALLEXXLxPAR .,5.65,0.00,
1536/00650-128,GUANTE S-12 TACTIL TERMICO IMPERM.AZUL TALLE SxPAR .,5.09,0.00,
1536/00660-128,GUANTE S-12 TACTIL TERMICO IMPERM.AZUL TALLE MxPAR .,5.65,0.00,
1536/00670-128,GUANTE S-12 TACTIL TERMICO IMPERM.AZUL TALLE LxPAR .,5.65,0.00,
1536/00680-128,GUANTE S-12 TACTIL TERMICO IMPER.AZUL TALLE XLxPAR .,5.65,0.00,
1536/00685-128,GUANTE S-12 TACTIL TERMICO IMPER.AZUL TALLEXXLxPAR .,5.65,0.00,
1536/00710-022,GUANTE U-1 MEDIO DEDO NEGRO/NARANJA TALLE XL x PAR NSU,5.80,0.00,
1537,HERRAM.,,,
1537/00005-038,CALIBRE DIGITAL NSU,22.15,0.00,
1537/00006-038,CARGADOR BATERIA 220V.12V.1.3AMP. NSU,13.47,0.00,
1537/00007-038,CARGADOR BATERIA 220V.12V.2AMP. NSU,21.18,0.00,
1537/00008-016,CARGADOR BATERIA INTELIGENTE BATERIA LITIO HBC0201 NSU,55.10,0.00,
1537/00009-038,CARGADOR BATERIA 220V.12V.5AMP. NSU,28.34,0.00,
1537/00022-038,PROBADOR BATERIA TESTER UNIV.9/18V.DY2015 NSU,69.42,0.00,
1537/00024-038,PROBADOR BATERIA TESTER UNIV.12/24V.BM410 NSU,14.91,0.00,
1537/00026-038,PROBADOR BATERIA TESTER UNIV.12V.BM310 NSU,6.59,0.00,
1537/00100-038,CORTACADENA Y REMACHADOR 3 MEDIDAS NSU,38.85,0.00,
1537/00112-156,CORTACADENA FORJA FINA NSU,7.39,0.00,
1537/00200-038,KIT EXTRACTOR VOLANTE MAGNETICO 10PZAS. NSU,36.91,0.00,
1537/00200-156,KIT EXTRACTOR VOLANTE MAGNETICO 10PZAS. NSU,36.91,0.00,
1537/00220-156,KIT ALINEADOR CADENA/CORONA/PIÑON NSU,9.69,0.00,
1537/00240-138,KIT EXTRACTOR DE RULEMAN .,22.50,0.00,
1537/00260-156,PRENSA RESORTES DE VALVULAS NSU,25.42,0.00,
1537/00280-156,CORTA CADENA DE TRACCION NSU,6.34,0.00,
1537/00290-138,KIT REMACHADORA CADENA DE DISTRIBUCION .,9.22,0.00,
1537/00295-138,ESTETOSCOPIO PARA VERIFICAR MOTORES .,4.76,0.00,
1537/00300-566,"CAJA HERRAMIENTAS NEGRA 11"" C/BANDEJA Y TAPA ORG. VC",0.00,7566.11,
1537/00310-566,"CAJA HERRAMIENTAS NEGRA 16""C/BANDEJA Y TAPA ORG. VC",0.00,10575.04,
1537/00320-566,"CAJA HERRAMIENTAS NEGRA 19""C/BANDEJA Y TAPA ORG. VC",0.00,17686.89,
1537/00335-566,CAJON MULTIUSO 80x45x35 125LITROS C/TAPA/MANIJA/RU VC,0.00,55394.32,1
1537/00338-156,KIT PALANCA PARA DESARMAR CUBIERTAS 22X6X300MM 12P NSU,1.55,0.00,
1537/00340-156,KIT PALANCA PARA DESARMAR CUBIERTAS NSU,11.19,0.00,
1537/00350-138,LAPIZ MEDIDOR DE PRESION DE AIRE 100PSI x10UNID. .,11.61,0.00,
1537/00360-156,JUEGO SONDA GALGA MILIMETRICAS NSU,3.91,0.00,
1537/00380-156,EXTRACTOR EMBRAGUE DOBLE UNIVERSAL NSU,3.37,0.00,
1537/00400-138,EXTRACTOR DE ARBOL DE LEVAS .,13.07,0.00,
1537/00500-138,"EXTRACTOR DE RULEMANES 3"" EXTERNO .",7.12,0.00,
1537/00500-156,"EXTRACTOR DE RULEMANES 3"" EXTERNO NSU",6.41,0.00,
1537/00510-138,"EXTRACTOR DE RULEMANES 4"" .",6.08,0.00,
1537/00510-156,"EXTRACTOR DE RULEMANES 4"" NSU",6.71,0.00,
1537/00515-156,EXTRACTOR RETENES SEGUROS ORING  CABEZAL DOBLE NSU,12.91,0.00,
1537/00530-138,"PALANCA PARA DESARMAR NEUMATICOS 12"" .",1.90,0.00,
1537/00531-156,PEINE PARA ROSCAS 52 PIEZAS MILIMETRICO NSU,9.78,0.00,
1537/00532-156,PISTOLA PARA INFLAR NEUMATICOS CON MANOMETRO NSU,8.31,0.00,
1537/00534-138,PISTOLA PARA INFLAR NEUMATICOS C/MANOMETRO 12BAR .,23.59,0.00,
1537/00536-156,PISTOLA PARA INFLAR NEUMATICOS DIGITAL NSU,18.64,0.00,
1537/00542-138,PISTOLA AIRE COMPRESOR ROSCA 1/4 METAL .,4.07,0.00,
1537/00543-138,PISTOLA AIRE COMPRESOR DG10 METAL 2 PICOS LARGO .,3.74,0.00,
1537/00544-138,PISTOLA AIRE COMPRESOR ROJA PLASTICA .,2.93,0.00,
