Articulo,Descripcion,"Lista IMP.
U$S DÓLAR","Lista NAC.
$ PESOS",
1039/08007-575,ARO HONDA NC 50 CC. EXPRESS 175 YAMASIDA/KIM,0.00,7651.59,
1039/08008-575,ARO HONDA NC 50 CC. EXPRESS 200 YAMASIDA/KIM,0.00,7651.59,
1039/11000-022,ARO SUZUKI AX 100 STD NSU,2.33,0.00,
1039/11000-575,ARO SUZUKI AX 100 STD YAMASIDA/KIM,0.00,7651.59,
1039/11001-022,ARO SUZUKI AX 100 025  NSU,2.32,0.00,
1039/11001-575,ARO SUZUKI AX 100 025  YAMASIDA/KIM,0.00,7651.59,
1039/11002-022,ARO SUZUKI AX 100 050 NSU,2.33,0.00,
1039/11002-575,ARO SUZUKI AX 100 050 YAMASIDA/KIM,0.00,7651.59,
1039/11003-022,ARO SUZUKI AX 100 075 NSU,2.33,0.00,
1039/11003-575,ARO SUZUKI AX 100 075 YAMASIDA/KIM,0.00,7651.59,
1039/11004-022,ARO SUZUKI AX 100 100 NSU,2.32,0.00,
1039/11004-575,ARO SUZUKI AX 100 100 YAMASIDA/KIM,0.00,7651.59,
1039/11005-022,ARO SUZUKI AX 100 1.25 NSU NSU,2.32,0.00,
1039/11006-022,ARO SUZUKI AX 100 1.50 NSU NSU,2.32,0.00,
1039/12001-020,ARO SUZUKI FZ 50 CC. Y RB 50 CC 025 TW.,1.85,0.00,
1039/13001-022,ARO ZANELLA  90 51.25 MM. 025 YAMASIDA,1.20,0.00,
1039/13002-022,ARO ZANELLA  90 51.50 MM. 050 YAMASIDA,1.20,0.00,
1039/13003-022,ARO ZANELLA  90 51.75 MM. 075 YAMASIDA,1.20,0.00,
1039/13004-022,ARO ZANELLA  90 52 MM. 100 YAMASIDA,1.20,0.00,
1039/15000-575,ARO ZANELLA DUE SOL 50  STD  YAMASIDA/KIM,0.00,6169.99,
1039/15001-575,ARO ZANELLA DUE SOL 50 025 YAMASIDA/KIM,0.00,6169.99,
1039/15002-575,ARO ZANELLA DUE SOL 50 050 YAMASIDA/KIM,0.00,6169.99,
1039/15003-575,ARO ZANELLA DUE SOL 50 075 YAMASIDA/KIM,0.00,6169.99,
1039/15004-575,ARO ZANELLA DUE SOL 50 100 YAMASIDA/KIM,0.00,6169.99,
1039/15005-575,ARO ZANELLA DUE SOL 50 125 YAMASIDA/KIM,0.00,6169.99,
1039/15006-575,ARO ZANELLA DUE SOL 50 150 YAMASIDA/KIM,0.00,6169.99,
1039/15007-575,ARO ZANELLA DUE SOL 50 175 YAMASIDA/KIM,0.00,6169.99,
1039/15008-575,ARO ZANELLA DUE SOL 50 200 YAMASIDA/KIM,0.00,6169.99,
1039/16000-575,ARO ZANELLA SOL 70 /DUE 80 STD YAMASIDA/KIM,0.00,7651.59,
1039/16001-575,ARO ZANELLA SOL 70/DUE 80 025 YAMASIDA/KIM,0.00,7651.59,
1039/16002-575,ARO ZANELLA SOL 70/DUE 80 050 YAMASIDA/KIM,0.00,7651.59,
1039/16003-575,ARO ZANELLA SOL 70/DUE 80 075 YAMASIDA/KIM,0.00,7651.59,
1039/16004-575,ARO ZANELLA SOL 70/DUE 80 100 YAMASIDA/KIM,0.00,7651.59,
1039/16005-575,ARO ZANELLA SOL 70/DUE 80 125 YAMASIDA/KIM,0.00,7651.59,
1039/16006-575,ARO ZANELLA SOL 70/DUE 80 150 YAMASIDA/KIM,0.00,7651.59,
1039/16007-575,ARO ZANELLA SOL 70/DUE 80 175 YAMASIDA/KIM,0.00,7651.59,
1039/16008-575,ARO ZANELLA SOL 70/DUE 80 200 YAMASIDA/KIM,0.00,7651.59,
1039/17000-055,ARO ZANELLA V1 V3  STD NSU,1.82,0.00,
1039/17000-575,ARO ZANELLA V1 V3  STD YAMASIDA/KIM,0.00,7651.59,
