Codigo,Articulo,Cantidad, Precio Unitario , Importe 
1337/00389-038,MANIJAS EMBRAGUE/FRENO HONDA CBX 250 TWISTER NSU,4," $  3,244.56 "," $  12,978.24 "
1337/00118-038,MANIJAS EMBRAGUE/FRENO HONDA CG 150 NEW NSU,6," $  2,465.87 "," $  14,795.20 "
1337/00383-038,"MANIJAS EMBRAGUE/FRENO HONDA CG125KS FAN,CG150KS NSU",4," $  2,905.98 "," $  11,623.92 "
1337/00437-022,MANIJAS EMBRAGUE/FRENO HONDA STORM 125 SDH A DISCO NSU,4," $  2,686.50 "," $  10,745.98 "
1337/00355-022,MANIJAS EMBRAGUE/FRENO HONDA TITAN CG150 A DISCO NSU,8," $  3,049.89 "," $  24,399.08 "
1337/00323-038,"MANIJAS EMBRAGUE/FRENO HONDA XLR 125, NXR 125 NSU",4," $  3,283.49 "," $  13,133.96 "
1337/00372-022,"MANIJAS EMBRAGUE/FRENO HONDA XR 250 TORNADO,NX 4 NSU",4," $  3,049.89 "," $  12,199.54 "
1337/00452-038,MANIJAS EMBRAGUE/FRENO MOTOMEL DAKAR 200 A DISCO NSU,4," $  2,946.06 "," $  11,784.24 "
1337/00572-022,MANIJAS EMBRAGUE/FRENO YAMAHA FZ16 NSU,4," $  2,997.97 "," $  11,991.89 "
1337/00700-022,MANIJAS EMBRAGUE/FRENO YAMAHA XTZ 125/250 NSU,4," $  3,452.20 "," $  13,808.82 "
1337/00376-022,MANIJAS EMBRAGUE/FRENO YAMAHA YBR 125 ES NSU,4," $  3,166.69 "," $  12,666.75 "
1337/00375-022,MANIJAS EMBRAGUE/FRENO YAMAHA YBR 125 KS NSU,4," $  3,179.66 "," $  12,718.65 "
1337/00534-022,MANIJAS EMBRAGUE/FRENO YAMAHA YBR 125 NSU,4," $  2,920.10 "," $  11,680.39 "
1337/00020-022,MANIJAS EMBRAGUE/FRENO ZANELLA RX 150 A DISCO NSU,6," $  3,309.45 "," $  19,856.70 "
1337/00496-022,MANIJAS EMBRAGUE/FRENO ZANELLA RX 150 NSU,4," $  3,361.36 "," $  13,445.45 "
1337/00030-022,MANIJAS EMBRAGUE/FRENO ZANELLA ZTT 250 NSU,4," $  3,192.64 "," $  12,770.56 "
1733/00020-518,NIPLES 3.0MM X 36 R33,1," $  4,455.68 "," $  4,455.68 "
1653/00003-022,PALANCA DE ARRANQUE GILERA SMASH NSU,6," $  3,556.03 "," $  21,336.18 "
1653/00050-022,PALANCA DE ARRANQUE ZANELLA RX 150 NSU,5," $  5,398.94 "," $  26,994.71 "
1655/00095-022,PALANCA DE FRENO PIE HONDA XR150L NSU,3," $  8,150.33 "," $  24,450.98 "
1755/00015-022,PEDALIN TRAS. HONDA STORM xJGO. NSU,2," $  6,185.75 "," $  12,371.50 "
1755/00170-022,PEDALIN TRAS. MOTOMEL SKUA NSU,2," $  4,678.61 "," $  9,357.22 "
1663/00180-022,"PISTON KIT GILERA FUT110CC. STD PISTON 52,40 PER13 YAMASIDA",5," $  7,947.56 "," $  39,737.79 "
1737/00110-518,RAYOS RUEDA 3 X 160MM (BOLSA X 36) R33,1," $  5,321.11 "," $  5,321.11 "
1737/00380-038,"RAYOS RUEDA 3,2 X 160 C/NIPLE NSU",144, $  120.17 ," $  17,304.71 "
1737/00390-038,"RAYOS RUEDA 3,2 X 165 C/NIPLE NSU",72, $  141.00 ," $  10,151.76 "
1737/00400-038,"RAYOS RUEDA 3,2 X 170 C/NIPLE NSU",72, $  141.00 ," $  10,151.76 "
1737/00510-038,RAYOS RUEDA 4 X 125 C/NIPLE NSU,108, $  184.26 ," $  19,899.95 "
1697/00110-038,RETEN MOTOR HONDA CG125 x JGO. NSU,25," $  1,236.94 "," $  30,923.37 "
1697/00370-038,RETEN MOTOR SUZUKI AX 100 LE NSU,10," $  1,361.89 "," $  13,618.94 "
1705/00010-627,"RETEN VALVULA 4,5MM BAJAJ ROUSER x10UNID.70BA1017 JUNTAS ALFA",2," $  6,569.78 "," $  13,139.56 "
1705/00080-627,"RETEN VALVULA 4,5MM YAMAHA CRYPTONx10UNID.70YA1217 JUNTAS ALFA",2," $  6,569.78 "," $  13,139.56 "
1705/00040-627,"RETEN VALVULA 5,0MM GIL.SMASH 110 x10UNID.70HO1017 JUNTAS ALFA",5," $  3,813.79 "," $  19,068.94 "
1705/00070-627,"RETEN VALVULA 5,0MM SUZUKI EN/GN x10UNID.70SU1517 JUNTAS ALFA",4," $  4,731.69 "," $  18,926.75 "
1705/00045-627,"RETEN VALVULA 5,5MM UNIV.125/150 x10UNID.70HO1917 JUNTAS ALFA",5," $  3,813.79 "," $  19,068.94 "
1705/00030-038,RETEN VALVULA 5.5 HONDA CG 125 x 20 UNID. NSU,5," $  2,696.56 "," $  13,482.82 "
1705/00050-038,RETEN VALVULA 5.5 HONDA x 10UNID. NSU,5," $  2,537.88 "," $  12,689.42 "
1791/00065-038,TAPA TANQUE NAFTA GILERA SMASH-BIZ-ZB110-DAX70 NSU,6," $  1,551.35 "," $  9,308.12 "
1791/00095-022,TAPA TANQUE NAFTA H.TITAN2000/CD-100/CB-250 NSU,6," $  6,809.48 "," $  40,856.85 "
1791/00150-038,TAPA TANQUE NAFTA SUZUKI AX 100 REDONDA NSU,4," $  4,422.20 "," $  17,688.78 "
1801/00004-022,TAPON ACEITE CON INDICADOR GILERA SMASH CROMADO NSU,10, $  672.15 ," $  6,721.46 "
1793/00005-077,TAPON INSPECCION Y TAPON CARTER GILERA SMASH KIT NSU,20," $  1,076.71 "," $  21,534.17 "
1537/00555-138,TARUGO PARA REPARAR NEUMATICO 6X100 x60UNID. .,1," $  5,386.13 "," $  5,386.13 "
1806/00130-621,"TORNILLO PERNO CALIPER LARGO 10 X 1,00 x10unidades .",2," $  9,132.92 "," $  18,265.84 "
